"seqnames"	"start"	"end"	"width"	"strand"	"site_reads"	"site_mean"	"block"
"chr18.73118"	"chr18"	73118	73118	1	"*"	369	15.375	"chr18.3"
"chr18.73147"	"chr18"	73147	73147	1	"*"	565	22.6	"chr18.3"
"chr18.73148"	"chr18"	73148	73148	1	"*"	539	21.56	"chr18.3"
"chr18.73153"	"chr18"	73153	73153	1	"*"	562	22.48	"chr18.3"
"chr18.73154"	"chr18"	73154	73154	1	"*"	549	21.96	"chr18.3"
"chr18.73159"	"chr18"	73159	73159	1	"*"	603	24.12	"chr18.3"
"chr18.73160"	"chr18"	73160	73160	1	"*"	577	23.08	"chr18.3"
"chr18.73175"	"chr18"	73175	73175	1	"*"	618	24.72	"chr18.3"
"chr18.73189"	"chr18"	73189	73189	1	"*"	642	25.68	"chr18.4"
"chr18.73190"	"chr18"	73190	73190	1	"*"	670	27.9166666666667	"chr18.4"
"chr18.73211"	"chr18"	73211	73211	1	"*"	589	23.56	"chr18.4"
"chr18.73212"	"chr18"	73212	73212	1	"*"	609	24.36	"chr18.4"
"chr18.73246"	"chr18"	73246	73246	1	"*"	512	21.3333333333333	"chr18.4"
"chr18.73247"	"chr18"	73247	73247	1	"*"	557	23.2083333333333	"chr18.4"
"chr18.73249"	"chr18"	73249	73249	1	"*"	516	21.5	"chr18.4"
"chr18.73250"	"chr18"	73250	73250	1	"*"	564	22.56	"chr18.4"
"chr18.73256"	"chr18"	73256	73256	1	"*"	499	20.7916666666667	"chr18.4"
"chr18.73257"	"chr18"	73257	73257	1	"*"	568	22.72	"chr18.4"
"chr18.73258"	"chr18"	73258	73258	1	"*"	475	19.7916666666667	"chr18.4"
"chr18.73259"	"chr18"	73259	73259	1	"*"	577	23.08	"chr18.4"
"chr18.73262"	"chr18"	73262	73262	1	"*"	459	18.36	"chr18.4"
"chr18.73263"	"chr18"	73263	73263	1	"*"	578	23.12	"chr18.4"
"chr18.73264"	"chr18"	73264	73264	1	"*"	457	19.0416666666667	"chr18.4"
"chr18.73265"	"chr18"	73265	73265	1	"*"	579	23.16	"chr18.4"
"chr18.73268"	"chr18"	73268	73268	1	"*"	462	20.0869565217391	"chr18.4"
"chr18.73269"	"chr18"	73269	73269	1	"*"	589	23.56	"chr18.4"
"chr18.73273"	"chr18"	73273	73273	1	"*"	462	20.0869565217391	"chr18.4"
"chr18.73274"	"chr18"	73274	73274	1	"*"	587	23.48	"chr18.4"
"chr18.73282"	"chr18"	73282	73282	1	"*"	463	20.1304347826087	"chr18.4"
"chr18.73283"	"chr18"	73283	73283	1	"*"	574	22.96	"chr18.4"
"chr18.73287"	"chr18"	73287	73287	1	"*"	453	19.695652173913	"chr18.4"
"chr18.73288"	"chr18"	73288	73288	1	"*"	543	21.72	"chr18.4"
"chr18.73289"	"chr18"	73289	73289	1	"*"	457	19.8695652173913	"chr18.4"
"chr18.73290"	"chr18"	73290	73290	1	"*"	531	21.24	"chr18.4"
"chr18.73315"	"chr18"	73315	73315	1	"*"	402	15.4615384615385	"chr18.4"
"chr18.73316"	"chr18"	73316	73316	1	"*"	472	19.6666666666667	"chr18.4"
"chr18.73320"	"chr18"	73320	73320	1	"*"	395	15.1923076923077	"chr18.4"
"chr18.73321"	"chr18"	73321	73321	1	"*"	410	16.4	"chr18.4"
"chr18.73338"	"chr18"	73338	73338	1	"*"	364	14.56	"chr18.4"
"chr18.73339"	"chr18"	73339	73339	1	"*"	324	13.5	"chr18.4"
"chr18.73352"	"chr18"	73352	73352	1	"*"	301	12.04	"chr18.4"
"chr18.73353"	"chr18"	73353	73353	1	"*"	245	11.6666666666667	"chr18.4"
"chr18.73371"	"chr18"	73371	73371	1	"*"	257	11.1739130434783	"chr18.4"
"chr18.73372"	"chr18"	73372	73372	1	"*"	199	9.04545454545454	"chr18.4"
"chr18.73375"	"chr18"	73375	73375	1	"*"	246	11.1818181818182	"chr18.4"
"chr18.73376"	"chr18"	73376	73376	1	"*"	162	8.1	"chr18.4"
"chr18.73377"	"chr18"	73377	73377	1	"*"	259	11.2608695652174	"chr18.4"
"chr18.73409"	"chr18"	73409	73409	1	"*"	271	11.7826086956522	"chr18.4"
"chr18.73446"	"chr18"	73446	73446	1	"*"	339	14.7391304347826	"chr18.5"
"chr18.73466"	"chr18"	73466	73466	1	"*"	374	14.96	"chr18.5"
"chr18.73491"	"chr18"	73491	73491	1	"*"	437	16.8076923076923	"chr18.5"
"chr18.73494"	"chr18"	73494	73494	1	"*"	435	16.7307692307692	"chr18.5"
"chr18.73497"	"chr18"	73497	73497	1	"*"	432	17.28	"chr18.5"
"chr18.73501"	"chr18"	73501	73501	1	"*"	439	17.56	"chr18.5"
"chr18.73506"	"chr18"	73506	73506	1	"*"	461	18.44	"chr18.5"
"chr18.73512"	"chr18"	73512	73512	1	"*"	465	18.6	"chr18.5"
"chr18.73517"	"chr18"	73517	73517	1	"*"	463	17.8076923076923	"chr18.5"
"chr18.73519"	"chr18"	73519	73519	1	"*"	417	16.68	"chr18.5"
"chr18.73521"	"chr18"	73521	73521	1	"*"	479	18.4230769230769	"chr18.5"
"chr18.73523"	"chr18"	73523	73523	1	"*"	485	18.6538461538462	"chr18.5"
"chr18.73526"	"chr18"	73526	73526	1	"*"	499	19.1923076923077	"chr18.5"
"chr18.73533"	"chr18"	73533	73533	1	"*"	531	20.4230769230769	"chr18.5"
"chr18.73548"	"chr18"	73548	73548	1	"*"	573	22.0384615384615	"chr18.5"
"chr18.73552"	"chr18"	73552	73552	1	"*"	584	22.4615384615385	"chr18.5"
"chr18.73560"	"chr18"	73560	73560	1	"*"	616	23.6923076923077	"chr18.5"
"chr18.73562"	"chr18"	73562	73562	1	"*"	641	24.6538461538462	"chr18.5"
"chr18.75524"	"chr18"	75524	75524	1	"*"	244	11.6190476190476	"chr18.6"
"chr18.75535"	"chr18"	75535	75535	1	"*"	297	13.5	"chr18.6"
"chr18.75536"	"chr18"	75536	75536	1	"*"	265	12.0454545454545	"chr18.6"
"chr18.75577"	"chr18"	75577	75577	1	"*"	285	13.5714285714286	"chr18.6"
"chr18.75578"	"chr18"	75578	75578	1	"*"	248	11.8095238095238	"chr18.6"
"chr18.75581"	"chr18"	75581	75581	1	"*"	291	13.2272727272727	"chr18.6"
"chr18.75582"	"chr18"	75582	75582	1	"*"	239	11.3809523809524	"chr18.6"
"chr18.75584"	"chr18"	75584	75584	1	"*"	291	13.2272727272727	"chr18.6"
"chr18.75585"	"chr18"	75585	75585	1	"*"	244	12.2	"chr18.6"
"chr18.75592"	"chr18"	75592	75592	1	"*"	275	13.0952380952381	"chr18.6"
"chr18.75593"	"chr18"	75593	75593	1	"*"	271	12.3181818181818	"chr18.6"
"chr18.75595"	"chr18"	75595	75595	1	"*"	278	13.9	"chr18.6"
"chr18.75596"	"chr18"	75596	75596	1	"*"	279	12.1304347826087	"chr18.6"
"chr18.75603"	"chr18"	75603	75603	1	"*"	300	13.6363636363636	"chr18.6"
"chr18.75604"	"chr18"	75604	75604	1	"*"	309	14.0454545454545	"chr18.6"
"chr18.75611"	"chr18"	75611	75611	1	"*"	346	15.0434782608696	"chr18.6"
"chr18.75612"	"chr18"	75612	75612	1	"*"	345	15	"chr18.6"
"chr18.75620"	"chr18"	75620	75620	1	"*"	361	17.1904761904762	"chr18.6"
"chr18.75621"	"chr18"	75621	75621	1	"*"	376	15.6666666666667	"chr18.6"
"chr18.75651"	"chr18"	75651	75651	1	"*"	515	20.6	"chr18.6"
"chr18.75652"	"chr18"	75652	75652	1	"*"	577	23.08	"chr18.6"
"chr18.75657"	"chr18"	75657	75657	1	"*"	539	22.4583333333333	"chr18.6"
"chr18.75658"	"chr18"	75658	75658	1	"*"	592	23.68	"chr18.6"
"chr18.75663"	"chr18"	75663	75663	1	"*"	555	22.2	"chr18.6"
"chr18.75664"	"chr18"	75664	75664	1	"*"	610	24.4	"chr18.6"
"chr18.75692"	"chr18"	75692	75692	1	"*"	509	21.2083333333333	"chr18.6"
"chr18.75693"	"chr18"	75693	75693	1	"*"	712	27.3846153846154	"chr18.6"
"chr18.75714"	"chr18"	75714	75714	1	"*"	509	21.2083333333333	"chr18.6"
"chr18.75715"	"chr18"	75715	75715	1	"*"	650	25	"chr18.7"
"chr18.75718"	"chr18"	75718	75718	1	"*"	387	16.125	"chr18.7"
"chr18.75719"	"chr18"	75719	75719	1	"*"	649	24.9615384615385	"chr18.7"
"chr18.75734"	"chr18"	75734	75734	1	"*"	447	19.4347826086957	"chr18.7"
"chr18.75735"	"chr18"	75735	75735	1	"*"	665	25.5769230769231	"chr18.7"
"chr18.75752"	"chr18"	75752	75752	1	"*"	428	18.6086956521739	"chr18.7"
"chr18.75753"	"chr18"	75753	75753	1	"*"	703	27.0384615384615	"chr18.7"
"chr18.75759"	"chr18"	75759	75759	1	"*"	377	16.3913043478261	"chr18.7"
"chr18.75760"	"chr18"	75760	75760	1	"*"	668	25.6923076923077	"chr18.7"
"chr18.75761"	"chr18"	75761	75761	1	"*"	374	16.2608695652174	"chr18.7"
"chr18.75762"	"chr18"	75762	75762	1	"*"	655	25.1923076923077	"chr18.7"
"chr18.75764"	"chr18"	75764	75764	1	"*"	357	16.2272727272727	"chr18.7"
"chr18.75765"	"chr18"	75765	75765	1	"*"	662	25.4615384615385	"chr18.7"
"chr18.75766"	"chr18"	75766	75766	1	"*"	341	15.5	"chr18.7"
"chr18.75767"	"chr18"	75767	75767	1	"*"	647	24.8846153846154	"chr18.7"
"chr18.75770"	"chr18"	75770	75770	1	"*"	323	14.6818181818182	"chr18.7"
"chr18.75771"	"chr18"	75771	75771	1	"*"	641	24.6538461538462	"chr18.7"
"chr18.75775"	"chr18"	75775	75775	1	"*"	310	15.5	"chr18.6"
"chr18.75776"	"chr18"	75776	75776	1	"*"	585	25.4347826086957	"chr18.6"
"chr18.75777"	"chr18"	75777	75777	1	"*"	312	15.6	"chr18.6"
"chr18.75778"	"chr18"	75778	75778	1	"*"	541	23.5217391304348	"chr18.6"
"chr18.75790"	"chr18"	75790	75790	1	"*"	535	23.2608695652174	"chr18.6"
"chr18.75823"	"chr18"	75823	75823	1	"*"	338	14.695652173913	"chr18.6"
"chr18.75826"	"chr18"	75826	75826	1	"*"	294	13.3636363636364	"chr18.6"
"chr18.75841"	"chr18"	75841	75841	1	"*"	275	12.5	"chr18.6"
"chr18.75846"	"chr18"	75846	75846	1	"*"	262	12.4761904761905	"chr18.6"
"chr18.75865"	"chr18"	75865	75865	1	"*"	252	12.6	"chr18.6"
"chr18.76012"	"chr18"	76012	76012	1	"*"	204	9.71428571428571	"chr18.8"
"chr18.76016"	"chr18"	76016	76016	1	"*"	209	10.45	"chr18.8"
"chr18.76017"	"chr18"	76017	76017	1	"*"	161	8.47368421052632	"chr18.8"
"chr18.76024"	"chr18"	76024	76024	1	"*"	224	11.2	"chr18.8"
"chr18.76025"	"chr18"	76025	76025	1	"*"	189	9	"chr18.8"
"chr18.76026"	"chr18"	76026	76026	1	"*"	233	11.65	"chr18.8"
"chr18.76027"	"chr18"	76027	76027	1	"*"	189	9	"chr18.8"
"chr18.76056"	"chr18"	76056	76056	1	"*"	346	15.0434782608696	"chr18.8"
"chr18.499316"	"chr18"	499316	499316	1	"*"	208	9.90476190476191	"chr18.11"
"chr18.499317"	"chr18"	499317	499317	1	"*"	197	8.95454545454546	"chr18.11"
"chr18.499326"	"chr18"	499326	499326	1	"*"	210	9.1304347826087	"chr18.11"
"chr18.499327"	"chr18"	499327	499327	1	"*"	221	9.60869565217391	"chr18.11"
"chr18.499329"	"chr18"	499329	499329	1	"*"	227	9.45833333333333	"chr18.11"
"chr18.499330"	"chr18"	499330	499330	1	"*"	235	9.79166666666667	"chr18.11"
"chr18.499342"	"chr18"	499342	499342	1	"*"	241	10.4782608695652	"chr18.11"
"chr18.499343"	"chr18"	499343	499343	1	"*"	242	11	"chr18.11"
"chr18.499378"	"chr18"	499378	499378	1	"*"	376	14.4615384615385	"chr18.11"
"chr18.499379"	"chr18"	499379	499379	1	"*"	425	17	"chr18.11"
"chr18.499383"	"chr18"	499383	499383	1	"*"	390	15	"chr18.11"
"chr18.499384"	"chr18"	499384	499384	1	"*"	440	17.6	"chr18.11"
"chr18.499393"	"chr18"	499393	499393	1	"*"	396	15.2307692307692	"chr18.11"
"chr18.499394"	"chr18"	499394	499394	1	"*"	470	18.8	"chr18.11"
"chr18.499395"	"chr18"	499395	499395	1	"*"	394	15.1538461538462	"chr18.11"
"chr18.499396"	"chr18"	499396	499396	1	"*"	472	18.88	"chr18.11"
"chr18.499449"	"chr18"	499449	499449	1	"*"	280	11.6666666666667	"chr18.11"
"chr18.499450"	"chr18"	499450	499450	1	"*"	428	16.4615384615385	"chr18.11"
"chr18.499464"	"chr18"	499464	499464	1	"*"	202	9.61904761904762	"chr18.11"
"chr18.499465"	"chr18"	499465	499465	1	"*"	368	14.72	"chr18.11"
"chr18.499468"	"chr18"	499468	499468	1	"*"	194	9.23809523809524	"chr18.11"
"chr18.499469"	"chr18"	499469	499469	1	"*"	345	13.8	"chr18.11"
"chr18.499477"	"chr18"	499477	499477	1	"*"	166	8.3	"chr18.11"
"chr18.499478"	"chr18"	499478	499478	1	"*"	305	12.7083333333333	"chr18.11"
"chr18.499481"	"chr18"	499481	499481	1	"*"	150	7.89473684210526	"chr18.11"
"chr18.499482"	"chr18"	499482	499482	1	"*"	278	11.5833333333333	"chr18.11"
"chr18.499503"	"chr18"	499503	499503	1	"*"	205	9.76190476190476	"chr18.11"
"chr18.499635"	"chr18"	499635	499635	1	"*"	239	11.95	"chr18.11"
"chr18.499637"	"chr18"	499637	499637	1	"*"	245	12.25	"chr18.11"
"chr18.499653"	"chr18"	499653	499653	1	"*"	346	15.0434782608696	"chr18.11"
"chr18.499669"	"chr18"	499669	499669	1	"*"	188	9.4	"chr18.11"
"chr18.499670"	"chr18"	499670	499670	1	"*"	413	15.8846153846154	"chr18.11"
"chr18.499674"	"chr18"	499674	499674	1	"*"	203	9.66666666666667	"chr18.11"
"chr18.499675"	"chr18"	499675	499675	1	"*"	460	18.4	"chr18.11"
"chr18.499706"	"chr18"	499706	499706	1	"*"	323	12.92	"chr18.11"
"chr18.499707"	"chr18"	499707	499707	1	"*"	723	27.8076923076923	"chr18.11"
"chr18.499720"	"chr18"	499720	499720	1	"*"	369	14.1923076923077	"chr18.11"
"chr18.499721"	"chr18"	499721	499721	1	"*"	805	30.9615384615385	"chr18.11"
"chr18.500922"	"chr18"	500922	500922	1	"*"	191	9.09523809523809	"chr18.13"
"chr18.500925"	"chr18"	500925	500925	1	"*"	204	9.27272727272727	"chr18.13"
"chr18.500936"	"chr18"	500936	500936	1	"*"	218	10.3809523809524	"chr18.13"
"chr18.500954"	"chr18"	500954	500954	1	"*"	287	11.9583333333333	"chr18.13"
"chr18.500959"	"chr18"	500959	500959	1	"*"	308	12.8333333333333	"chr18.13"
"chr18.500967"	"chr18"	500967	500967	1	"*"	328	13.12	"chr18.13"
"chr18.596757"	"chr18"	596757	596757	1	"*"	460	18.4	"chr18.14"
"chr18.596758"	"chr18"	596758	596758	1	"*"	265	10.6	"chr18.14"
"chr18.596759"	"chr18"	596759	596759	1	"*"	465	18.6	"chr18.14"
"chr18.596760"	"chr18"	596760	596760	1	"*"	255	10.2	"chr18.14"
"chr18.596779"	"chr18"	596779	596779	1	"*"	386	14.8461538461538	"chr18.14"
"chr18.596780"	"chr18"	596780	596780	1	"*"	151	7.94736842105263	"chr18.14"
"chr18.596787"	"chr18"	596787	596787	1	"*"	324	12.4615384615385	"chr18.14"
"chr18.596790"	"chr18"	596790	596790	1	"*"	297	12.375	"chr18.14"
"chr18.596983"	"chr18"	596983	596983	1	"*"	174	9.1578947368421	"chr18.14"
"chr18.596994"	"chr18"	596994	596994	1	"*"	202	10.1	"chr18.14"
"chr18.597009"	"chr18"	597009	597009	1	"*"	194	10.2105263157895	"chr18.14"
"chr18.597010"	"chr18"	597010	597010	1	"*"	190	9.04761904761905	"chr18.14"
"chr18.597014"	"chr18"	597014	597014	1	"*"	202	10.1	"chr18.14"
"chr18.597015"	"chr18"	597015	597015	1	"*"	230	10.4545454545455	"chr18.14"
"chr18.597016"	"chr18"	597016	597016	1	"*"	206	10.3	"chr18.14"
"chr18.597017"	"chr18"	597017	597017	1	"*"	252	10.5	"chr18.14"
"chr18.597060"	"chr18"	597060	597060	1	"*"	340	13.0769230769231	"chr18.14"
"chr18.597061"	"chr18"	597061	597061	1	"*"	521	20.0384615384615	"chr18.14"
"chr18.597075"	"chr18"	597075	597075	1	"*"	377	14.5	"chr18.14"
"chr18.597076"	"chr18"	597076	597076	1	"*"	540	20.7692307692308	"chr18.14"
"chr18.597087"	"chr18"	597087	597087	1	"*"	391	15.64	"chr18.14"
"chr18.597088"	"chr18"	597088	597088	1	"*"	566	22.64	"chr18.14"
"chr18.597111"	"chr18"	597111	597111	1	"*"	411	15.8076923076923	"chr18.14"
"chr18.597112"	"chr18"	597112	597112	1	"*"	641	24.6538461538462	"chr18.14"
"chr18.597144"	"chr18"	597144	597144	1	"*"	327	13.08	"chr18.14"
"chr18.597145"	"chr18"	597145	597145	1	"*"	606	23.3076923076923	"chr18.14"
"chr18.597165"	"chr18"	597165	597165	1	"*"	255	10.625	"chr18.14"
"chr18.597166"	"chr18"	597166	597166	1	"*"	522	20.0769230769231	"chr18.14"
"chr18.597168"	"chr18"	597168	597168	1	"*"	255	10.625	"chr18.14"
"chr18.597169"	"chr18"	597169	597169	1	"*"	513	19.7307692307692	"chr18.14"
"chr18.597186"	"chr18"	597186	597186	1	"*"	201	9.57142857142857	"chr18.14"
"chr18.597187"	"chr18"	597187	597187	1	"*"	408	15.6923076923077	"chr18.14"
"chr18.597205"	"chr18"	597205	597205	1	"*"	340	13.6	"chr18.14"
"chr18.597223"	"chr18"	597223	597223	1	"*"	293	12.2083333333333	"chr18.14"
"chr18.597230"	"chr18"	597230	597230	1	"*"	263	11.4347826086957	"chr18.14"
"chr18.597236"	"chr18"	597236	597236	1	"*"	253	11.5	"chr18.14"
"chr18.597240"	"chr18"	597240	597240	1	"*"	237	10.7727272727273	"chr18.14"
"chr18.597249"	"chr18"	597249	597249	1	"*"	194	9.23809523809524	"chr18.14"
"chr18.597252"	"chr18"	597252	597252	1	"*"	173	9.10526315789474	"chr18.14"
"chr18.597254"	"chr18"	597254	597254	1	"*"	170	8.94736842105263	"chr18.14"
"chr18.672819"	"chr18"	672819	672819	1	"*"	214	10.7	"chr18.16"
"chr18.672866"	"chr18"	672866	672866	1	"*"	547	21.88	"chr18.16"
"chr18.672867"	"chr18"	672867	672867	1	"*"	282	13.4285714285714	"chr18.16"
"chr18.672902"	"chr18"	672902	672902	1	"*"	787	31.48	"chr18.16"
"chr18.672903"	"chr18"	672903	672903	1	"*"	387	14.8846153846154	"chr18.16"
"chr18.672963"	"chr18"	672963	672963	1	"*"	1359	52.2692307692308	"chr18.16"
"chr18.672964"	"chr18"	672964	672964	1	"*"	578	22.2307692307692	"chr18.16"
"chr18.673016"	"chr18"	673016	673016	1	"*"	1535	59.0384615384615	"chr18.16"
"chr18.673017"	"chr18"	673017	673017	1	"*"	522	20.88	"chr18.16"
"chr18.673055"	"chr18"	673055	673055	1	"*"	1266	48.6923076923077	"chr18.16"
"chr18.673056"	"chr18"	673056	673056	1	"*"	438	17.52	"chr18.16"
"chr18.673111"	"chr18"	673111	673111	1	"*"	1172	45.0769230769231	"chr18.16"
"chr18.673112"	"chr18"	673112	673112	1	"*"	525	21	"chr18.16"
"chr18.712683"	"chr18"	712683	712683	1	"*"	223	11.7368421052632	"chr18.18"
"chr18.712686"	"chr18"	712686	712686	1	"*"	222	11.6842105263158	"chr18.18"
"chr18.712693"	"chr18"	712693	712693	1	"*"	250	12.5	"chr18.18"
"chr18.712701"	"chr18"	712701	712701	1	"*"	309	14.0454545454545	"chr18.18"
"chr18.712718"	"chr18"	712718	712718	1	"*"	414	16.56	"chr18.18"
"chr18.712719"	"chr18"	712719	712719	1	"*"	300	14.2857142857143	"chr18.18"
"chr18.712729"	"chr18"	712729	712729	1	"*"	464	18.56	"chr18.18"
"chr18.712730"	"chr18"	712730	712730	1	"*"	338	16.9	"chr18.18"
"chr18.712731"	"chr18"	712731	712731	1	"*"	472	18.88	"chr18.18"
"chr18.712732"	"chr18"	712732	712732	1	"*"	348	16.5714285714286	"chr18.18"
"chr18.712733"	"chr18"	712733	712733	1	"*"	481	19.24	"chr18.18"
"chr18.712734"	"chr18"	712734	712734	1	"*"	359	17.0952380952381	"chr18.18"
"chr18.712737"	"chr18"	712737	712737	1	"*"	488	19.52	"chr18.18"
"chr18.712738"	"chr18"	712738	712738	1	"*"	376	17.9047619047619	"chr18.18"
"chr18.712744"	"chr18"	712744	712744	1	"*"	512	19.6923076923077	"chr18.18"
"chr18.712745"	"chr18"	712745	712745	1	"*"	429	18.6521739130435	"chr18.18"
"chr18.712781"	"chr18"	712781	712781	1	"*"	399	16.625	"chr18.18"
"chr18.712782"	"chr18"	712782	712782	1	"*"	567	23.625	"chr18.18"
"chr18.712789"	"chr18"	712789	712789	1	"*"	368	15.3333333333333	"chr18.18"
"chr18.712790"	"chr18"	712790	712790	1	"*"	543	22.625	"chr18.18"
"chr18.712795"	"chr18"	712795	712795	1	"*"	372	15.5	"chr18.18"
"chr18.712796"	"chr18"	712796	712796	1	"*"	539	22.4583333333333	"chr18.18"
"chr18.712802"	"chr18"	712802	712802	1	"*"	326	14.8181818181818	"chr18.18"
"chr18.712803"	"chr18"	712803	712803	1	"*"	517	22.4782608695652	"chr18.18"
"chr18.712809"	"chr18"	712809	712809	1	"*"	317	13.7826086956522	"chr18.18"
"chr18.712810"	"chr18"	712810	712810	1	"*"	501	20.875	"chr18.18"
"chr18.712812"	"chr18"	712812	712812	1	"*"	314	13.6521739130435	"chr18.18"
"chr18.712813"	"chr18"	712813	712813	1	"*"	494	20.5833333333333	"chr18.18"
"chr18.712832"	"chr18"	712832	712832	1	"*"	277	13.1904761904762	"chr18.18"
"chr18.712833"	"chr18"	712833	712833	1	"*"	385	16.7391304347826	"chr18.18"
"chr18.712844"	"chr18"	712844	712844	1	"*"	243	11.0454545454545	"chr18.18"
"chr18.712845"	"chr18"	712845	712845	1	"*"	309	14.7142857142857	"chr18.18"
"chr18.712854"	"chr18"	712854	712854	1	"*"	206	9.80952380952381	"chr18.18"
"chr18.712855"	"chr18"	712855	712855	1	"*"	261	13.7368421052632	"chr18.18"
"chr18.712864"	"chr18"	712864	712864	1	"*"	174	9.1578947368421	"chr18.18"
"chr18.712988"	"chr18"	712988	712988	1	"*"	215	9.34782608695652	"chr18.18"
