"seqnames"	"start"	"end"	"width"	"strand"	"block_mean"	"block_sum"	"L"	"PC"	"imp"
"chr18.131"	"chr18"	11148711	11148778	68	"*"	291.192307692308	7571	26	0.128965556418358	0.214497041420118
"chr18.133"	"chr18"	11432419	11432644	226	"*"	397.818181818182	8752	22	0.859387416904261	0.0961538461538462
"chr18.135"	"chr18"	11751558	11751611	54	"*"	401.3	8026	20	0.0953531586760238	0.0769230769230769
"chr18.136"	"chr18"	11752128	11752151	24	"*"	228.25	1826	8	0.156235129703646	0.201923076923077
"chr18.137"	"chr18"	11752463	11752564	102	"*"	295.684210526316	5618	19	0.0923143029417481	0.145748987854251
"chr18.138"	"chr18"	11752617	11752669	53	"*"	374.888888888889	3374	9	0.0717815458508055	0.0982905982905983
"chr18.139"	"chr18"	11850119	11850222	104	"*"	537.4	5374	10	0.0866820456724779	0.00384615384615385
"chr18.140"	"chr18"	11850181	11850221	41	"*"	360.111111111111	3241	9	0.083776778857286	0.0384615384615385
"chr18.143"	"chr18"	11947832	11948155	324	"*"	262	5240	20	0.441121547860005	0.157692307692308
"chr18.144"	"chr18"	11948109	11948156	48	"*"	340.777777777778	3067	9	0.563985085199027	0.106837606837607
"chr18.149"	"chr18"	12076366	12076528	163	"*"	534.592592592593	14434	27	0.329645680443728	0.0555555555555556
"chr18.151"	"chr18"	12092899	12093015	117	"*"	380.533333333333	5708	15	0.37131118372254	0.107692307692308
"chr18.153"	"chr18"	12287250	12287669	420	"*"	473.475409836066	28882	61	0.15470432141877	0.0662042875157629
"chr18.159"	"chr18"	12376149	12376288	140	"*"	424.235294117647	7212	17	0.154082190914207	0.0723981900452489
"chr18.164"	"chr18"	12556436	12556623	188	"*"	362.071428571429	5069	14	0.87695049264006	0.151098901098901
"chr18.165"	"chr18"	12557179	12557299	121	"*"	396.090909090909	4357	11	0.893947096824996	0.0769230769230769
"chr18.166"	"chr18"	12557484	12557556	73	"*"	409.181818181818	4501	11	0.85322437555471	0.0944055944055944
"chr18.167"	"chr18"	12559353	12559587	235	"*"	246.571428571429	1726	7	0.913558254393797	0.214285714285714
"chr18.168"	"chr18"	12656977	12657221	245	"*"	628.513513513514	23255	37	0.0283639055425773	0.0582120582120582
"chr18.171"	"chr18"	12773916	12774108	193	"*"	339.888888888889	3059	9	0.883048895908023	0.145299145299145
"chr18.172"	"chr18"	12775728	12775918	191	"*"	297.066666666667	4456	15	0.830510282268613	0.153846153846154
"chr18.173"	"chr18"	12776879	12776903	25	"*"	235.4	1177	5	0.835905169399209	0.169230769230769
"chr18.174"	"chr18"	12776998	12777280	283	"*"	410.254901960784	20923	51	0.56257164948319	0.083710407239819
"chr18.175"	"chr18"	12777712	12777907	196	"*"	283.6875	4539	16	0.74624184414403	0.144230769230769
"chr18.176"	"chr18"	12778031	12778085	55	"*"	261.375	2091	8	0.827747298133011	0.177884615384615
"chr18.178"	"chr18"	12896896	12897014	119	"*"	255.083333333333	3061	12	0.0773117071361887	0.0705128205128205
"chr18.179"	"chr18"	12911455	12911465	11	"*"	345.166666666667	2071	6	0.196378862060068	0.121794871794872
"chr18.180"	"chr18"	12911702	12911729	28	"*"	486.125	3889	8	0.190008971020767	0.0288461538461538
"chr18.182"	"chr18"	12948638	12948721	84	"*"	538.2	5382	10	0.0887126065830336	0.0192307692307692
"chr18.187"	"chr18"	13222525	13222659	135	"*"	768.041666666667	18433	24	0.227043050081229	0.00480769230769231
"chr18.188"	"chr18"	13263164	13263271	108	"*"	217.25	3476	16	0.863895036094661	0.230769230769231
"chr18.189"	"chr18"	13502004	13502132	129	"*"	636.357142857143	8909	14	0.529080340581239	0.021978021978022
"chr18.190"	"chr18"	13611340	13611534	195	"*"	757.833333333333	13641	18	0.360093741224632	0.0106837606837607
"chr18.191"	"chr18"	13611806	13611872	67	"*"	369.777777777778	3328	9	0.272702875419146	0.0769230769230769
"chr18.192"	"chr18"	13641713	13641926	214	"*"	244.851851851852	6611	27	0.434223498797672	0.173789173789174
"chr18.198"	"chr18"	14178946	14178968	23	"*"	448.888888888889	4040	9	0.0466662320700173	0.0213675213675214
"chr18.199"	"chr18"	14179365	14179578	214	"*"	593.08	14827	25	0.152013590814272	0.0246153846153846
"chr18.200"	"chr18"	14179463	14179490	28	"*"	734.777777777778	6613	9	0.135787191069961	0
"chr18.201"	"chr18"	14393193	14393289	97	"*"	419.235294117647	7127	17	0.898919430744319	0.0565610859728507
"chr18.203"	"chr18"	14450779	14450800	22	"*"	336.272727272727	3699	11	0.0260913700328329	0.216783216783217
"chr18.204"	"chr18"	14458091	14458298	208	"*"	528	18480	35	0.289679441251245	0.0604395604395604
"chr18.206"	"chr18"	14458637	14458946	310	"*"	573.052631578947	21776	38	0.0994365363348499	0.097165991902834
"chr18.207"	"chr18"	14458992	14459028	37	"*"	569.571428571429	3987	7	0.561430066708907	0
"chr18.208"	"chr18"	14459139	14459185	47	"*"	359.5	2157	6	0.781167571051718	0.128205128205128
"chr18.209"	"chr18"	14460595	14460786	192	"*"	338.380952380952	7106	21	0.758040325590427	0.0897435897435897
"chr18.210"	"chr18"	14747796	14747829	34	"*"	292.4	1462	5	0.355139020333875	0.0307692307692308
"chr18.211"	"chr18"	14747911	14747930	20	"*"	374.8	1874	5	0.367561636356729	0
"chr18.212"	"chr18"	14748041	14748513	473	"*"	605.304347826087	41766	69	0.264872743009691	0.0429208472686734
"chr18.213"	"chr18"	14999781	14999878	98	"*"	286.761904761905	6022	21	0.400470159723272	0.179487179487179
"chr18.214"	"chr18"	15165231	15165342	112	"*"	403.321428571429	11293	28	0.388100584654575	0.0631868131868132
"chr18.215"	"chr18"	15197747	15197813	67	"*"	520.666666666667	3124	6	0.253502234988747	0
"chr18.216"	"chr18"	15197801	15197945	145	"*"	403.363636363636	8874	22	0.114319008458419	0.0996503496503496
"chr18.217"	"chr18"	15198077	15198134	58	"*"	180.6	1806	10	0.253513840870459	0.180769230769231
"chr18.218"	"chr18"	15198234	15198310	77	"*"	250.3125	4005	16	0.24919749224856	0.225961538461538
"chr18.219"	"chr18"	15330187	15331160	974	"*"	465.714285714286	48900	105	0.841038360590096	0.100732600732601
"chr18.220"	"chr18"	15331475	15331580	106	"*"	300	4500	15	0.872499719044495	0.105128205128205
"chr18.232"	"chr18"	21896909	21897075	167	"*"	643.5	7722	12	0.555294277653879	0.0192307692307692
"chr18.234"	"chr18"	22172382	22172401	20	"*"	682.222222222222	6140	9	0.438969383650401	0
"chr18.235"	"chr18"	22176937	22176999	63	"*"	255.875	4094	16	0.112638819990551	0.117788461538462
"chr18.236"	"chr18"	22177012	22177031	20	"*"	347.555555555556	3128	9	0.129549005800551	0.0512820512820513
"chr18.237"	"chr18"	22349148	22349197	50	"*"	420.666666666667	3786	9	0.0723194704572514	0.0341880341880342
"chr18.238"	"chr18"	22349513	22349555	43	"*"	917	5502	6	0.470127474733902	0
"chr18.239"	"chr18"	22417936	22417994	59	"*"	1105.9	11059	10	0.640570266333192	0
"chr18.242"	"chr18"	23131907	23132022	116	"*"	457.444444444444	4117	9	0.0244744697231482	0.0598290598290598
"chr18.245"	"chr18"	23136947	23137107	161	"*"	380.176470588235	12926	34	0.23942191897407	0.0735294117647059
"chr18.246"	"chr18"	23231354	23231587	234	"*"	647.666666666667	11658	18	0.399789239800742	0.032051282051282
"chr18.258"	"chr18"	23872766	23873042	277	"*"	582.269230769231	15139	26	0.394008746113014	0.0769230769230769
"chr18.259"	"chr18"	23873167	23873221	55	"*"	677.5	4065	6	0.406955246770696	0.0128205128205128
"chr18.264"	"chr18"	24376807	24376863	57	"*"	314.545454545455	3460	11	0.896515788092	0.136363636363636
"chr18.267"	"chr18"	25349266	25349304	39	"*"	645.5	7746	12	0.0666865359687904	0.00961538461538462
"chr18.271"	"chr18"	26133765	26134120	356	"*"	854.095238095238	53808	63	0.631428923344757	0
"chr18.275"	"chr18"	26547569	26548708	1140	"*"	384.671328671329	55008	143	0.107338676071658	0.121839698762776
"chr18.278"	"chr18"	26551321	26551533	213	"*"	863.652173913043	19864	23	0.146779283578494	0.00836120401337793
"chr18.280"	"chr18"	27185127	27185289	163	"*"	413.384615384615	10748	26	0.0325325385033635	0.0976331360946746
"chr18.281"	"chr18"	28175631	28175646	16	"*"	227.4	1137	5	0.0745520902551446	0.176923076923077
"chr18.283"	"chr18"	29398918	29399049	132	"*"	345.181818181818	3797	11	0.658393013683775	0.125874125874126
"chr18.284"	"chr18"	29399247	29399303	57	"*"	292.888888888889	2636	9	0.831788733405757	0.183760683760684
"chr18.285"	"chr18"	30174277	30174483	207	"*"	369	4059	11	0.760818547322794	0.115384615384615
"chr18.286"	"chr18"	30175515	30175579	65	"*"	264.285714285714	1850	7	0.84972354543781	0.142857142857143
"chr18.287"	"chr18"	30788472	30788827	356	"*"	394.151515151515	13007	33	0.834311626088875	0.111888111888112
"chr18.288"	"chr18"	30789443	30789658	216	"*"	447.157894736842	8496	19	0.701917224854859	0.137651821862348
"chr18.289"	"chr18"	30838343	30838743	401	"*"	460.2	16107	35	0.829574774337502	0.103296703296703
"chr18.290"	"chr18"	30839147	30839232	86	"*"	349.666666666667	4196	12	0.844740807813596	0.0897435897435897
"chr18.291"	"chr18"	30839441	30839734	294	"*"	343.16	8579	25	0.860890364523851	0.103076923076923
"chr18.292"	"chr18"	31041670	31041685	16	"*"	593.666666666667	5343	9	0.0576273301899427	0.0213675213675214
"chr18.293"	"chr18"	31042306	31042498	193	"*"	310	6200	20	0.0605542098563412	0.126923076923077
"chr18.294"	"chr18"	31042307	31042332	26	"*"	283.3	2833	10	0.185433714894127	0.146153846153846
"chr18.295"	"chr18"	31042621	31042669	49	"*"	481.8	4818	10	0.0517802714255472	0.0807692307692308
"chr18.296"	"chr18"	31042628	31042642	15	"*"	546.777777777778	4921	9	0.0598488695737837	0.0427350427350427
"chr18.302"	"chr18"	31724186	31724290	105	"*"	397.52	9938	25	0.0901903435626028	0.0261538461538462
"chr18.303"	"chr18"	31724415	31724529	115	"*"	361.727272727273	3979	11	0.148491467254048	0.0839160839160839
"chr18.304"	"chr18"	31724466	31724582	117	"*"	509.363636363636	5603	11	0.114079606291257	0.00699300699300699
"chr18.305"	"chr18"	31760860	31760967	108	"*"	516.592592592593	13948	27	0.841059091320121	0.0712250712250712
"chr18.310"	"chr18"	32139897	32139960	64	"*"	396.529411764706	6741	17	0.867570865628323	0.0972850678733032
"chr18.314"	"chr18"	32772947	32773163	217	"*"	493.421052631579	9375	19	0.325330501062468	0.0506072874493927
"chr18.315"	"chr18"	32794406	32795052	647	"*"	314.628571428571	22024	70	0.880146173365572	0.14010989010989
"chr18.316"	"chr18"	33316365	33316479	115	"*"	268.1	2681	10	0.889097001346496	0.157692307692308
"chr18.317"	"chr18"	33317214	33317354	141	"*"	393.272727272727	4326	11	0.774071859099724	0.125874125874126
"chr18.318"	"chr18"	33317379	33317458	80	"*"	494.307692307692	6426	13	0.872752709243594	0.0739644970414201
"chr18.321"	"chr18"	34159429	34159546	118	"*"	442.24	11056	25	0.139407705798426	0.0415384615384615
"chr18.322"	"chr18"	34222990	34223298	309	"*"	418.169811320755	22163	53	0.0546469159249326	0.0486211901306241
"chr18.324"	"chr18"	34233972	34234234	263	"*"	423.921052631579	16109	38	0.870220755749105	0.137651821862348
"chr18.325"	"chr18"	34234735	34235175	441	"*"	503.684210526316	9570	19	0.827390297505653	0.121457489878543
"chr18.326"	"chr18"	34494225	34494550	326	"*"	315.787878787879	10421	33	0.0651065020705634	0.124708624708625
"chr18.331"	"chr18"	35267541	35267648	108	"*"	539.5	7553	14	0.0314119202988841	0.043956043956044
"chr18.332"	"chr18"	35267871	35267895	25	"*"	233	1165	5	0.304818602154441	0.246153846153846
"chr18.340"	"chr18"	35949998	35950546	549	"*"	448.2375	35859	80	0.0878387465400044	0.0802884615384615
"chr18.347"	"chr18"	36760622	36760887	266	"*"	395	18170	46	0.895571332384921	0.13628762541806
"chr18.350"	"chr18"	37243980	37244054	75	"*"	212.538461538462	2763	13	0.196420121574691	0.14792899408284
"chr18.351"	"chr18"	37254717	37254784	68	"*"	730.909090909091	8040	11	0.335768395707468	0.0384615384615385
"chr18.355"	"chr18"	37567222	37567272	51	"*"	532.214285714286	7451	14	0.0532326809854887	0.00274725274725275
"chr18.356"	"chr18"	38941410	38941570	161	"*"	358.529411764706	6095	17	0.569717485162107	0.19683257918552
"chr18.357"	"chr18"	38944443	38944521	79	"*"	287.363636363636	3161	11	0.801696409777402	0.108391608391608
"chr18.358"	"chr18"	39308876	39309206	331	"*"	219.391304347826	5046	23	0.82033921720866	0.197324414715719
"chr18.359"	"chr18"	39309382	39309454	73	"*"	304.833333333333	1829	6	0.836146411160727	0.147435897435897
"chr18.360"	"chr18"	39309852	39310239	388	"*"	371.5	6687	18	0.835516727219999	0.104700854700855
"chr18.361"	"chr18"	39841523	39841579	57	"*"	744.818181818182	8193	11	0.075164306265694	0
"chr18.362"	"chr18"	39841734	39841759	26	"*"	361.636363636364	3978	11	0.0564493966195234	0.034965034965035
"chr18.364"	"chr18"	42795277	42795382	106	"*"	468.235294117647	7960	17	0.807683117207475	0.0248868778280543
"chr18.365"	"chr18"	43115627	43115677	51	"*"	977.333333333333	11728	12	0.490770758614459	0
"chr18.366"	"chr18"	44321045	44321338	294	"*"	470	9400	20	0.831067837319666	0.1
"chr18.367"	"chr18"	44580769	44580824	56	"*"	254	3302	13	0.92179132407325	0.186390532544379
"chr18.368"	"chr18"	44581845	44582032	188	"*"	487.95	9759	20	0.657640265582996	0.0615384615384615
"chr18.371"	"chr18"	44744639	44744733	95	"*"	201.1	2011	10	0.801104772005864	0.226923076923077
"chr18.372"	"chr18"	44744945	44745131	187	"*"	369.736842105263	7025	19	0.880740869501543	0.0809716599190283
"chr18.373"	"chr18"	45063254	45063434	181	"*"	258.666666666667	4656	18	0.905490530159155	0.166666666666667
"chr18.374"	"chr18"	45063742	45064070	329	"*"	432.121951219512	17717	41	0.914076076464187	0.102251407129456
"chr18.375"	"chr18"	45775475	45775589	115	"*"	631.666666666667	3790	6	0.0530463610336943	0.032051282051282
"chr18.376"	"chr18"	45775476	45775532	57	"*"	650.157894736842	12353	19	0.0732123517882738	0.00607287449392713
"chr18.377"	"chr18"	45775602	45775647	46	"*"	694	11798	17	0.0366676203023819	0.0203619909502262
"chr18.384"	"chr18"	46165079	46165277	199	"*"	412.2	8244	20	0.897660261036061	0.117307692307692
"chr18.388"	"chr18"	46758097	46758136	40	"*"	478.923076923077	6226	13	0.174186439363581	0.0562130177514793
"chr18.394"	"chr18"	47247586	47247769	184	"*"	431.363636363636	9490	22	0.162666647200381	0.131118881118881
"chr18.395"	"chr18"	47248457	47248683	227	"*"	553.3125	17706	32	0.210540688599653	0.078125
"chr18.396"	"chr18"	47248518	47248561	44	"*"	639	5751	9	0.242311247562815	0.0299145299145299
"chr18.397"	"chr18"	47249095	47249205	111	"*"	480.458333333333	11531	24	0.253262217352973	0.0737179487179487
"chr18.398"	"chr18"	47250529	47250560	32	"*"	614.777777777778	5533	9	0.255332885590009	0
"chr18.399"	"chr18"	47251360	47251574	215	"*"	492.75	15768	32	0.129505645171665	0.0637019230769231
"chr18.400"	"chr18"	47251484	47251503	20	"*"	356.333333333333	3207	9	0.169338659749732	0.128205128205128
"chr18.401"	"chr18"	47251565	47251671	107	"*"	416.666666666667	8750	21	0.098237080866844	0.0549450549450549
"chr18.402"	"chr18"	47260516	47260560	45	"*"	334.538461538462	4349	13	0.057395755589869	0.0946745562130177
"chr18.403"	"chr18"	47262447	47262538	92	"*"	401.166666666667	7221	18	0.247730440272834	0.061965811965812
"chr18.404"	"chr18"	47262476	47262493	18	"*"	363	3993	11	0.225529005092084	0.0629370629370629
"chr18.405"	"chr18"	47264123	47264273	151	"*"	542.9	10858	20	0.140697904368847	0.0865384615384615
"chr18.406"	"chr18"	47749010	47749560	551	"*"	462.04347826087	31881	69	0.0901009704821496	0.0752508361204013
"chr18.408"	"chr18"	47931614	47931975	362	"*"	602.238095238095	12647	21	0.236060388609053	0.0750915750915751
"chr18.409"	"chr18"	48029744	48029940	197	"*"	471.391304347826	10842	23	0.877576538246628	0.115384615384615
"chr18.413"	"chr18"	48538592	48539017	426	"*"	543.727272727273	23924	44	0.100858085726529	0.0935314685314685
"chr18.416"	"chr18"	48761480	48761813	334	"*"	475.785714285714	19983	42	0.54676298381441	0.0961538461538462
"chr18.419"	"chr18"	48859928	48859964	37	"*"	335.222222222222	3017	9	0.856141007874699	0.196581196581197
"chr18.420"	"chr18"	48859990	48860109	120	"*"	368.086956521739	8466	23	0.846544551338283	0.155518394648829
"chr18.421"	"chr18"	48921349	48921546	198	"*"	797.833333333333	23935	30	0.812326796996578	0.0115384615384615
"chr18.426"	"chr18"	48975016	48975090	75	"*"	294.5625	4713	16	0.55151426384681	0.117788461538462
"chr18.428"	"chr18"	49452647	49452686	40	"*"	343.6	1718	5	0.942427761922394	0.169230769230769
"chr18.431"	"chr18"	49461162	49461248	87	"*"	492.363636363636	5416	11	0.675126026686434	0.0734265734265734
"chr18.433"	"chr18"	49487679	49487720	42	"*"	845.222222222222	7607	9	0.548218888280639	0.0213675213675214
"chr18.437"	"chr18"	49561875	49561904	30	"*"	574.636363636364	6321	11	0.0243777066416419	0.0314685314685315
"chr18.443"	"chr18"	50268191	50268705	515	"*"	388.907692307692	25279	65	0.111142393033297	0.0692307692307692
"chr18.446"	"chr18"	50298746	50298780	35	"*"	333.846153846154	4340	13	0.226970787954252	0.159763313609467
"chr18.448"	"chr18"	50559252	50559323	72	"*"	873.1875	13971	16	0.361861661074101	0
"chr18.450"	"chr18"	50664043	50664385	343	"*"	506.48	25324	50	0.866256376339353	0.104615384615385
"chr18.460"	"chr18"	51863537	51863702	166	"*"	525.642857142857	7359	14	0.791062347833746	0.0796703296703297
"chr18.461"	"chr18"	51864542	51864824	283	"*"	379.411764705882	12900	34	0.736318236514381	0.110859728506787
"chr18.468"	"chr18"	54958134	54958214	81	"*"	948.25	7586	8	0.365210585983459	0
"chr18.473"	"chr18"	55779298	55779421	124	"*"	453.727272727273	4991	11	0.121319949958952	0.0734265734265734
"chr18.474"	"chr18"	55779891	55780096	206	"*"	328.6	8215	25	0.116420294918579	0.106153846153846
"chr18.475"	"chr18"	55780266	55780610	345	"*"	430.375	20658	48	0.0913299171781828	0.129807692307692
"chr18.478"	"chr18"	57121817	57121858	42	"*"	401.857142857143	2813	7	0.255840399253515	0.0494505494505494
"chr18.479"	"chr18"	57121905	57122053	149	"*"	447.263157894737	8498	19	0.205884598032369	0.0526315789473684
"chr18.480"	"chr18"	57147023	57147072	50	"*"	401.181818181818	4413	11	0.901603887762786	0.0874125874125874
"chr18.481"	"chr18"	57352499	57352570	72	"*"	307	2149	7	0.0959691773062197	0.0549450549450549
"chr18.482"	"chr18"	57352540	57352575	36	"*"	232.1	2321	10	0.159288312040061	0.115384615384615
"chr18.483"	"chr18"	57354279	57354374	96	"*"	439.708333333333	10553	24	0.331048286247935	0.0304487179487179
"chr18.484"	"chr18"	57428691	57428734	44	"*"	439.5	4395	10	0.120463810667703	0.05
"chr18.488"	"chr18"	57440465	57440584	120	"*"	289.785714285714	4057	14	0.115929663594887	0.186813186813187
"chr18.489"	"chr18"	57441305	57441621	317	"*"	499.666666666667	8994	18	0.0487076502605479	0.0598290598290598
"chr18.491"	"chr18"	57441568	57441596	29	"*"	459	5049	11	0.068003396611702	0.048951048951049
"chr18.495"	"chr18"	57649631	57649783	153	"*"	498.857142857143	3492	7	0.56043728963604	0.0714285714285714
"chr18.496"	"chr18"	57732809	57732855	47	"*"	409.909090909091	4509	11	0.860090987043764	0.108391608391608
"chr18.499"	"chr18"	57803708	57803968	261	"*"	614.205128205128	23954	39	0.0739618200030535	0.0424063116370809
"chr18.502"	"chr18"	58195396	58195447	52	"*"	1020.22222222222	9182	9	0.0692810165152855	0
"chr18.503"	"chr18"	58195525	58195614	90	"*"	572.833333333333	6874	12	0.0918567072714167	0.0737179487179487
"chr18.504"	"chr18"	58221479	58221698	220	"*"	519	3114	6	0.540047331213174	0.0641025641025641
"chr18.505"	"chr18"	58221480	58221622	143	"*"	877	7893	9	0.54431755797135	0.0128205128205128
"chr18.506"	"chr18"	58257612	58257736	125	"*"	730.2	7302	10	0.404808067884986	0
"chr18.507"	"chr18"	58459558	58459589	32	"*"	285.888888888889	2573	9	0.927872582622454	0.170940170940171
"chr18.510"	"chr18"	58827177	58827327	151	"*"	281.555555555556	2534	9	0.850142865896673	0.205128205128205
