"UC_0773"	"NN_0141"	"NN_0155"	"UC_0854"	"UC_0387"	"UC_0366"	"UC_0703"	"UC_0288"	"UC_0912"	"UC_0895"	"NN_0809"	"NN_0681"	"NN_0762"	"NN_0643"	"UC_0297"	"NN_0477"	"NN_0504"	"NN_0662"	"UC_0765"	"UC_0524"	"UC_0423"	"UC_0426"	"UC_0157"	"UC_0508"	"UC_0813"	"UC_0994"
"chr18.48710"	10	12	15	26	6	9	8	29	6	7	8	17	23	15	11	12	44	45	14	25	10	17	13	27	18	23
"chr18.48727"	9	9	5	14	5	10	0	9	5	8	7	12	8	0	5	12	6	13	13	21	0	6	5	8	7	11
"chr18.48728"	17	18	16	26	8	7	13	33	8	11	12	18	23	16	12	17	54	40	17	29	8	22	26	46	23	26
"chr18.48766"	3	4	10	8	0	11	0	5	0	5	6	12	6	0	8	10	9	11	20	12	0	7	0	6	6	6
"chr18.48767"	15	16	11	14	7	8	11	29	8	10	17	12	23	17	11	11	38	47	20	21	4	19	20	29	16	11
"chr18.48781"	12	15	12	14	0	6	4	22	8	8	15	14	26	14	8	9	38	39	15	18	12	17	18	25	11	11
"chr18.48808"	8	10	7	7	0	5	5	19	6	5	14	5	7	10	5	8	14	24	15	9	12	13	7	14	4	0
"chr18.48813"	7	8	8	8	0	6	0	17	6	2	11	7	7	6	0	8	12	19	14	7	13	9	7	13	0	0
"chr18.48818"	5	7	6	8	0	6	0	15	6	4	11	7	8	6	0	7	16	17	18	8	12	12	7	10	0	7
"chr18.48821"	6	6	8	7	0	7	0	12	6	0	9	7	8	6	0	6	14	18	12	10	11	13	6	14	0	8
"chr18.49506"	1	0	0	0	0	0	5	8	3	7	7	9	11	8	6	9	0	9	4	14	0	4	11	12	9	5
"chr18.49509"	5	0	0	4	0	0	5	14	0	7	9	9	11	8	6	13	0	16	13	14	0	10	12	13	11	5
"chr18.49521"	2	0	0	4	0	0	4	14	0	9	8	9	10	7	3	13	0	14	11	13	0	5	11	10	6	6
"chr18.49530"	3	0	0	4	0	0	5	11	0	10	10	8	12	8	5	16	0	15	7	13	0	5	10	10	7	6
"chr18.49591"	0	0	3	0	0	0	0	11	0	9	4	10	6	0	0	12	5	0	10	20	0	11	0	0	11	0
"chr18.49608"	0	0	6	14	0	0	6	26	0	9	14	26	10	10	8	18	20	14	18	20	0	17	10	13	17	0
"chr18.49609"	0	6	7	6	0	0	0	10	0	6	4	10	11	5	0	10	6	5	18	9	13	12	8	11	0	5
"chr18.49610"	0	0	9	12	0	0	7	27	0	12	12	27	10	11	9	20	21	17	22	21	6	21	11	14	18	0
"chr18.49615"	0	0	7	18	0	0	7	24	3	10	13	26	9	11	12	26	25	20	19	19	3	17	11	14	19	0
"chr18.49616"	0	7	5	6	0	0	0	7	0	4	8	11	7	9	0	5	10	8	10	10	12	11	5	13	0	4
"chr18.49625"	5	0	12	21	0	4	8	34	2	16	9	32	12	13	13	29	27	27	10	18	7	5	11	17	18	0
"chr18.49626"	0	6	7	10	0	0	0	7	0	7	2	17	12	10	5	14	9	8	4	1	12	1	6	15	7	5
"chr18.49632"	7	4	7	20	0	3	9	40	4	15	17	36	9	11	15	32	30	29	22	24	6	19	8	17	20	0
"chr18.49633"	0	9	6	10	0	0	0	9	0	8	12	16	15	11	7	16	14	12	28	20	12	22	7	21	12	9
"chr18.49638"	0	2	5	5	0	2	3	27	5	11	13	22	5	6	3	36	15	11	18	24	7	16	1	4	18	0
"chr18.49652"	4	6	15	30	0	6	7	36	5	15	15	30	11	13	14	33	32	33	17	19	8	10	9	15	15	0
"chr18.49653"	0	6	6	16	6	0	5	7	5	10	12	15	19	18	7	19	16	22	34	20	16	24	14	27	21	14
"chr18.49654"	3	4	14	30	0	6	8	38	5	19	14	30	11	14	15	29	32	33	20	19	8	10	9	16	18	0
"chr18.49655"	0	9	7	16	5	5	3	10	4	11	12	15	21	19	4	23	16	24	38	24	17	31	13	29	30	14
"chr18.49674"	6	0	8	27	0	0	8	27	4	13	15	24	14	7	13	20	25	25	19	16	6	10	7	8	13	0
"chr18.49675"	8	17	14	22	10	8	10	17	7	20	20	26	29	22	5	26	24	34	45	35	26	32	19	33	33	18
"chr18.49742"	12	8	15	17	0	6	0	18	6	8	10	28	7	6	7	17	28	23	6	9	0	5	5	5	0	0
"chr18.49743"	6	14	25	10	8	12	9	22	3	10	16	15	18	22	9	25	34	27	25	29	25	21	11	19	14	6
"chr18.49749"	8	7	18	16	0	3	0	21	4	10	10	32	9	5	9	16	27	19	7	10	4	4	6	7	0	0
"chr18.49750"	6	12	28	10	5	7	8	20	0	10	14	18	17	20	4	18	33	22	21	27	20	15	9	17	12	8
"chr18.49792"	6	5	11	8	0	3	0	8	1	3	7	6	7	0	4	6	8	10	4	3	3	0	0	2	0	0
"chr18.49793"	2	6	13	13	7	6	3	13	0	10	5	9	10	7	4	11	21	18	11	10	6	10	8	14	2	6
"chr18.49830"	8	2	5	14	0	3	0	12	2	7	6	8	6	5	2	5	10	7	0	2	4	0	0	3	0	0
"chr18.49831"	0	9	12	8	8	2	0	17	3	6	5	9	12	12	8	8	14	18	10	5	8	3	11	16	2	8
"chr18.50036"	6	12	8	7	0	8	0	12	0	7	15	10	20	16	4	9	8	4	7	8	6	4	0	4	0	0
"chr18.50062"	4	14	8	7	0	10	5	8	0	5	12	10	21	16	4	5	10	6	6	4	0	5	0	5	0	0
"chr18.51099"	6	4	2	4	1	7	1	4	2	7	5	10	9	2	0	10	4	2	2	1	5	1	2	0	0	2
"chr18.51100"	1	1	0	2	4	1	0	5	1	2	0	0	0	0	0	0	0	3	0	2	0	0	0	1	1	0
"chr18.73003"	3	6	5	12	6	4	9	13	0	9	11	9	10	0	3	6	11	9	7	11	9	4	8	8	7	17
"chr18.73004"	3	3	6	7	0	0	2	12	0	2	12	17	9	5	0	13	15	17	7	0	7	5	6	10	7	7
"chr18.73021"	7	8	8	16	4	6	8	21	0	10	11	5	8	1	3	8	17	14	8	8	9	7	10	11	7	15
"chr18.73022"	3	6	7	6	0	5	2	15	0	3	12	13	8	3	0	14	17	18	10	4	7	6	8	11	5	8
"chr18.73037"	8	11	6	20	4	7	10	23	4	24	11	7	10	5	3	10	13	13	8	9	10	11	16	11	13	17
"chr18.73038"	4	5	8	9	0	0	3	23	0	2	11	12	9	2	0	13	12	12	5	4	5	4	8	8	2	8
"chr18.73063"	7	9	5	13	0	4	3	21	0	17	16	4	8	6	8	5	15	12	12	9	11	9	14	4	4	7
"chr18.73064"	6	0	6	9	0	0	0	16	0	4	10	17	9	6	0	7	8	10	11	4	6	6	6	9	3	9
"chr18.73067"	6	12	5	18	0	0	2	22	0	22	19	9	8	5	5	5	17	14	16	10	9	5	14	6	2	6
"chr18.73068"	6	5	7	7	0	0	0	16	0	5	10	14	8	3	0	8	5	10	12	5	6	6	10	5	4	9
"chr18.73070"	8	12	6	15	0	0	2	24	0	19	19	14	10	6	6	5	13	12	16	10	10	6	10	8	3	7
"chr18.73071"	9	5	7	6	0	5	0	18	0	4	10	14	7	5	0	9	6	5	15	3	5	7	11	12	5	8
"chr18.73073"	8	11	8	15	0	0	2	21	0	24	13	10	9	5	5	5	12	9	16	8	10	5	8	4	0	7
"chr18.73074"	8	5	6	10	0	4	0	15	0	4	10	16	10	4	0	6	5	11	14	2	7	9	7	11	7	4
"chr18.73079"	6	10	8	16	0	0	3	23	0	18	21	10	8	7	7	4	12	10	16	8	10	7	9	7	3	5
"chr18.73080"	7	5	4	12	0	4	3	15	0	5	12	10	10	7	0	8	6	12	16	0	8	9	8	16	4	9
"chr18.73081"	6	7	8	15	0	0	3	21	0	19	17	9	9	0	6	4	13	9	12	9	10	8	10	7	0	5
"chr18.73082"	8	5	5	12	0	2	3	15	0	6	10	12	10	5	0	8	5	14	13	0	9	8	10	14	3	9
"chr18.73098"	4	5	7	11	0	0	2	10	0	13	19	5	7	5	7	3	13	2	13	11	14	6	10	9	4	6
"chr18.73099"	4	4	6	5	0	3	2	13	0	3	11	4	14	4	0	9	6	20	13	8	12	15	7	15	9	5
"chr18.73117"	6	9	13	20	0	4	0	22	4	12	22	16	14	9	9	4	38	2	14	11	15	11	13	14	7	15
"chr18.73118"	7	9	12	7	0	4	6	18	6	5	20	13	18	4	4	16	11	32	18	12	13	10	13	27	19	0
"chr18.73147"	5	7	9	19	4	7	5	15	0	12	16	17	24	6	5	6	28	8	18	22	15	16	7	14	9	23
"chr18.73148"	6	5	7	8	0	4	6	19	5	1	21	11	12	11	9	22	16	26	11	14	8	9	11	11	24	18
"chr18.73153"	5	8	17	30	6	9	7	26	0	23	22	23	23	14	10	12	38	15	30	23	26	29	16	22	22	27
"chr18.73154"	15	13	13	18	0	10	7	38	8	6	24	21	31	24	14	37	23	34	15	20	15	19	19	27	29	22
"chr18.73159"	8	8	16	28	8	13	7	28	0	25	24	25	25	14	7	12	45	12	39	22	25	24	17	27	22	30
"chr18.73160"	14	11	16	19	0	9	9	40	8	5	28	21	30	28	11	35	22	36	20	18	13	15	20	25	30	23
"chr18.73175"	4	6	19	25	8	8	5	26	0	24	23	23	20	9	11	15	39	17	29	24	14	23	11	19	32	26
"chr18.73176"	10	7	25	21	0	5	9	34	3	9	26	18	23	28	11	32	21	43	25	20	19	17	22	26	27	17
"chr18.73189"	2	4	12	19	2	7	3	25	0	16	17	10	24	6	10	6	26	15	18	23	7	14	11	18	25	13
"chr18.73190"	8	10	25	12	0	6	7	24	0	6	18	9	22	25	6	19	16	33	11	11	15	11	11	15	20	10
"chr18.73211"	5	4	9	22	3	7	3	21	0	16	15	9	20	8	10	12	25	14	16	29	3	9	14	12	27	21
"chr18.73212"	10	15	26	15	0	5	11	22	4	7	20	16	12	16	10	25	19	36	22	15	10	15	1	15	14	6
"chr18.73246"	3	3	13	22	6	5	0	24	0	10	12	20	21	8	2	17	24	13	15	25	9	23	11	12	25	30
"chr18.73247"	4	14	16	19	0	5	6	32	0	6	13	17	18	18	10	24	17	35	16	14	7	7	10	19	13	9
"chr18.73249"	4	3	11	18	7	8	0	21	0	10	13	25	18	8	2	17	25	13	15	22	6	20	11	10	21	30
"chr18.73250"	4	12	16	20	1	4	6	33	0	7	14	17	19	17	11	24	16	30	15	14	9	6	8	13	11	8
"chr18.73256"	6	3	12	18	3	8	0	20	0	6	9	15	16	7	2	18	25	11	23	19	10	24	12	11	19	17
"chr18.73257"	3	10	18	24	2	3	7	28	0	4	12	11	24	14	8	28	16	19	18	12	7	10	6	17	11	6
"chr18.73258"	6	5	13	17	4	6	0	20	0	8	7	15	15	10	2	14	20	6	23	19	13	22	14	15	15	21
"chr18.73259"	4	12	15	24	3	6	9	27	0	4	13	12	19	20	9	26	13	24	19	17	8	9	10	11	7	5
"chr18.73262"	6	5	11	14	6	5	0	19	2	8	7	15	14	10	1	16	27	7	25	17	14	19	15	11	12	16
"chr18.73263"	6	13	16	28	3	5	10	34	0	5	9	16	17	19	10	29	18	22	23	14	9	12	11	12	10	6
"chr18.73264"	6	4	11	16	6	4	1	17	0	11	5	13	14	8	0	14	28	7	25	16	13	19	14	11	13	15
"chr18.73265"	5	11	14	28	1	4	8	29	0	5	13	13	19	15	12	22	20	23	21	17	10	9	9	11	7	9
"chr18.73268"	6	4	9	14	3	4	0	19	0	12	10	18	10	8	0	19	28	10	21	13	9	21	13	10	13	14
"chr18.73269"	4	13	15	26	2	5	6	31	0	4	12	15	21	18	9	26	16	25	14	13	6	9	8	12	8	7
"chr18.73273"	4	6	7	17	3	2	0	25	0	13	15	18	8	9	0	20	24	11	32	14	15	21	14	14	14	14
"chr18.73274"	5	15	20	25	3	6	8	26	0	5	15	16	19	19	11	25	24	27	19	15	11	9	14	14	12	10
"chr18.73282"	4	1	8	15	1	1	0	30	0	14	13	10	6	7	0	19	25	8	32	13	6	21	11	5	13	13
"chr18.73283"	5	14	18	20	1	2	9	27	0	7	10	18	18	15	8	16	19	18	11	14	12	9	9	11	10	8
"chr18.73287"	2	4	7	17	0	4	1	26	0	9	9	13	5	5	0	16	19	8	20	9	7	9	8	7	10	7
"chr18.73288"	3	14	14	16	4	2	3	26	0	5	9	9	14	14	4	12	14	13	11	13	9	9	7	8	4	3
"chr18.73289"	3	4	7	19	0	4	2	26	0	9	14	17	5	6	0	15	25	10	22	9	5	16	9	7	9	10
"chr18.73290"	4	15	15	17	3	0	9	29	0	5	7	11	14	14	7	14	18	20	11	14	12	7	13	10	6	6
"chr18.73315"	2	7	6	18	3	2	2	27	1	14	13	9	7	5	5	13	25	8	27	14	6	6	4	7	7	5
"chr18.73316"	0	13	14	18	4	1	3	25	0	7	10	14	11	12	4	14	22	21	14	15	13	6	13	15	6	5
"chr18.73320"	4	5	8	18	2	1	1	22	1	9	14	9	10	5	0	15	25	10	18	10	4	10	4	9	3	4
"chr18.73321"	4	8	8	13	2	1	2	22	0	8	12	9	4	7	3	6	17	18	17	15	10	6	10	9	6	4
"chr18.73338"	0	8	10	18	3	2	3	25	2	17	14	8	10	8	5	15	25	9	10	10	11	11	5	9	7	8
"chr18.73339"	0	3	7	12	3	3	3	20	0	7	7	11	5	6	4	8	13	18	19	15	12	7	16	13	8	4
"chr18.73352"	0	6	7	14	3	2	3	17	1	10	13	6	10	2	5	13	19	7	3	10	10	9	5	6	2	11
"chr18.73353"	0	2	4	14	2	0	4	17	0	5	4	7	3	3	1	7	8	12	15	12	9	0	8	12	6	0
"chr18.73371"	0	3	7	9	4	5	3	15	2	9	9	9	11	2	0	9	17	0	1	10	11	4	3	6	4	7
"chr18.73372"	0	4	4	3	1	0	4	11	0	4	3	3	4	4	1	8	0	9	9	9	5	3	4	3	5	5
"chr18.73375"	0	3	4	7	0	3	3	14	0	7	8	5	11	1	0	4	18	6	1	8	7	3	4	3	4	6
"chr18.73376"	0	4	0	4	1	0	4	3	0	1	2	0	3	0	1	5	0	10	10	7	4	2	2	3	3	5
"chr18.73377"	0	4	4	6	0	5	3	12	1	9	7	7	11	2	0	4	17	6	0	8	7	4	4	2	4	6
"chr18.73409"	0	7	7	11	0	4	2	16	1	12	4	6	4	7	0	7	15	7	4	13	4	3	7	23	4	5
"chr18.73446"	3	3	4	11	0	3	3	8	0	6	3	4	7	3	0	6	12	10	2	7	1	5	3	15	0	7
"chr18.73466"	4	3	3	12	0	6	3	18	0	4	3	9	7	5	2	10	19	3	4	6	2	3	6	5	1	8
"chr18.73491"	1	6	5	5	0	3	3	12	1	4	4	1	5	2	0	9	18	13	0	8	7	5	1	6	2	5
"chr18.73494"	5	5	6	9	2	3	3	16	2	10	5	5	8	2	0	9	19	20	0	10	9	6	2	8	4	10
"chr18.73497"	4	7	6	3	1	1	4	15	0	7	4	3	8	4	0	12	20	16	1	8	9	4	3	8	4	9
"chr18.73501"	2	5	9	3	2	1	2	16	0	7	3	8	5	6	1	12	21	16	0	7	9	0	1	7	6	9
"chr18.73506"	2	8	7	8	2	6	0	19	0	7	3	11	6	5	3	11	14	20	2	5	8	0	3	10	5	10
"chr18.73512"	1	6	7	7	0	2	1	17	0	5	5	10	5	4	2	9	18	15	0	6	2	0	2	9	5	8
"chr18.73517"	2	8	3	9	1	5	2	18	2	7	5	11	5	5	1	14	17	23	5	7	2	0	2	7	5	5
"chr18.73519"	4	8	6	10	2	5	1	16	3	6	5	9	7	5	0	13	18	18	6	9	1	0	2	9	7	2
"chr18.73521"	1	7	2	11	2	3	0	18	2	6	5	8	7	5	1	13	18	20	2	6	0	0	2	8	5	3
"chr18.73523"	0	6	2	5	1	3	0	16	1	6	7	3	6	5	3	14	16	20	0	7	3	0	2	9	4	4
"chr18.73526"	4	9	3	10	3	7	2	18	3	9	10	10	12	4	1	19	16	25	7	8	3	3	7	15	9	7
"chr18.73533"	3	3	7	6	0	6	1	21	2	7	9	6	6	6	7	18	16	27	5	6	2	0	4	10	4	9
"chr18.73548"	5	2	4	9	0	4	2	8	1	2	5	6	10	5	1	13	14	15	1	2	1	0	1	4	3	13
"chr18.73552"	1	4	3	3	0	2	0	8	1	3	6	6	14	3	2	13	8	16	0	2	1	0	1	5	0	13
"chr18.73560"	2	3	6	4	0	2	1	11	1	4	7	11	10	3	3	17	15	21	2	3	2	0	2	7	9	17
"chr18.73562"	2	3	8	6	0	4	1	12	1	5	8	15	14	3	3	18	18	20	4	3	4	1	2	7	8	16
"chr18.73592"	6	11	13	22	4	11	6	17	2	13	7	19	22	10	9	21	28	31	12	12	5	5	6	20	13	18
"chr18.73612"	7	13	12	26	4	10	5	23	2	11	10	23	30	12	5	19	22	33	16	14	8	5	3	26	14	10
"chr18.73653"	0	2	6	16	2	4	1	9	2	4	3	6	11	3	0	10	6	13	5	3	4	0	6	7	1	9
"chr18.73664"	0	8	11	25	4	8	2	16	5	10	6	19	21	11	3	15	11	25	12	4	6	0	12	12	8	10
"chr18.73669"	2	9	7	13	6	3	2	15	3	5	2	13	14	11	3	11	7	17	10	1	2	0	10	4	8	10
"chr18.73706"	0	3	3	6	0	0	0	6	0	3	4	14	13	3	2	2	3	10	9	2	2	0	7	5	0	1
"chr18.75506"	2	2	4	3	0	0	0	6	0	0	7	7	0	0	0	2	4	8	7	16	6	8	4	7	2	11
"chr18.75523"	3	6	4	10	0	0	4	22	0	8	11	21	6	0	0	11	20	7	10	11	10	2	8	4	4	6
"chr18.75524"	6	6	5	7	0	0	0	7	0	3	11	13	0	5	6	6	5	14	8	22	5	10	6	9	7	16
"chr18.75535"	6	6	6	8	0	0	5	22	0	9	11	22	9	5	0	12	20	16	12	12	7	3	14	8	3	12
"chr18.75536"	7	7	6	11	0	4	0	13	0	6	9	17	0	6	6	5	8	14	13	20	10	15	7	14	6	17
"chr18.75577"	8	6	0	7	0	6	8	24	0	11	18	14	11	6	0	8	34	18	10	9	8	0	8	5	5	13
"chr18.75578"	4	9	6	15	0	5	0	17	0	7	12	14	6	6	0	0	12	14	16	18	7	5	8	13	5	20
"chr18.75581"	8	7	0	10	0	6	12	25	0	11	15	14	12	6	0	8	38	31	12	11	6	5	8	9	4	12
"chr18.75582"	6	7	6	13	0	5	0	19	0	8	10	13	9	6	0	0	10	13	19	18	9	4	9	18	5	16
"chr18.75584"	7	6	0	14	0	6	11	28	0	10	14	9	12	6	0	10	36	29	11	12	6	3	7	6	2	12
"chr18.75585"	8	8	4	9	0	4	0	16	0	7	11	14	10	9	0	0	12	13	17	17	12	7	9	15	0	17
"chr18.75592"	8	6	0	16	0	5	12	29	0	9	16	14	16	8	0	7	33	21	9	14	5	5	7	9	0	11
"chr18.75593"	10	11	5	14	0	5	0	20	0	8	14	12	11	11	0	5	15	16	15	19	13	9	7	16	5	17
"chr18.75595"	7	6	0	14	0	6	7	26	0	9	15	11	12	9	0	8	30	11	9	15	0	5	5	9	0	10
"chr18.75596"	9	10	5	11	0	6	3	19	0	7	14	7	12	10	0	4	14	15	13	14	10	7	7	15	3	15
"chr18.75603"	5	4	0	13	0	6	5	22	0	9	19	10	16	10	3	11	22	18	9	11	0	4	6	8	4	9
"chr18.75604"	7	10	7	9	0	0	4	16	0	6	17	10	13	12	0	4	16	23	11	13	10	9	7	12	4	19
"chr18.75611"	7	8	5	24	0	5	6	26	0	8	21	22	17	12	8	11	41	32	15	19	0	7	9	9	5	6
"chr18.75612"	8	10	9	18	0	4	5	14	0	7	20	18	17	13	0	8	23	26	20	16	15	13	9	16	6	20
"chr18.75620"	6	8	3	23	0	0	6	27	0	8	14	26	16	10	9	12	35	37	15	12	0	8	10	14	4	0
"chr18.75621"	8	9	8	20	4	3	5	14	0	8	19	25	16	10	0	9	28	22	15	16	14	12	13	16	5	27
"chr18.75651"	7	9	10	25	1	5	7	31	0	15	18	23	11	12	6	20	34	30	22	18	13	7	8	17	8	6
"chr18.75652"	16	10	11	19	8	5	5	23	0	8	30	32	17	18	4	18	47	34	15	32	7	13	24	18	8	25
"chr18.75657"	14	12	10	34	0	6	9	43	0	22	20	31	23	17	12	20	36	49	26	27	16	16	13	21	13	11
"chr18.75658"	20	9	14	21	8	6	9	32	0	8	37	38	28	19	7	22	62	45	22	30	9	17	28	24	12	35
"chr18.75663"	14	8	11	32	2	6	7	38	0	22	17	33	20	16	11	19	39	49	21	25	20	13	13	19	12	9
"chr18.75664"	18	9	15	23	7	5	8	33	0	15	31	37	25	19	6	21	51	51	20	29	6	14	29	23	12	34
"chr18.75692"	12	5	7	16	0	3	2	26	0	10	17	14	16	9	1	10	22	22	11	23	6	5	7	14	7	13
"chr18.75693"	3	9	16	10	6	6	4	28	0	18	21	22	21	11	2	14	36	58	10	22	15	9	14	19	9	21
"chr18.75714"	12	11	14	19	0	4	7	33	0	11	22	23	24	10	7	17	32	41	11	24	11	3	8	14	12	12
"chr18.75715"	8	13	17	15	8	5	6	39	3	19	22	25	29	15	5	24	36	50	18	22	16	13	9	21	10	21
"chr18.75718"	9	8	15	14	0	4	5	28	0	10	15	21	22	8	6	19	31	28	15	27	16	5	10	13	12	15
"chr18.75719"	8	11	17	17	6	8	5	39	3	23	21	26	26	14	6	30	44	47	18	22	17	14	13	16	10	18
"chr18.75734"	11	13	14	16	0	0	6	25	0	8	19	21	24	5	10	16	25	25	12	24	10	9	13	16	9	15
"chr18.75735"	10	13	15	19	9	2	3	47	5	19	30	25	24	15	6	31	51	48	15	22	16	11	12	21	10	23
"chr18.75752"	12	9	15	17	0	0	3	23	0	9	17	16	18	8	8	18	23	17	12	23	13	6	11	15	6	10
"chr18.75753"	8	11	17	18	9	2	4	47	5	14	35	37	27	21	5	30	49	57	17	18	12	12	14	15	8	10
"chr18.75759"	13	6	15	18	0	0	2	19	0	4	12	16	16	3	5	14	21	25	10	25	10	5	9	10	8	6
"chr18.75760"	9	13	17	19	5	1	2	39	4	11	31	35	26	27	5	38	52	58	15	17	8	12	13	13	6	8
"chr18.75761"	13	7	15	14	0	0	2	22	0	5	11	16	12	4	6	14	19	17	10	26	10	6	10	14	4	6
"chr18.75762"	10	11	16	16	6	1	4	39	5	8	27	35	22	30	6	34	50	52	13	20	7	10	17	11	7	12
"chr18.75764"	16	7	14	15	0	0	2	22	0	5	12	14	13	9	4	13	22	28	12	30	13	6	10	14	0	8
"chr18.75765"	18	10	17	21	10	1	4	44	4	13	30	40	25	29	5	39	58	55	14	19	11	10	18	13	6	13
"chr18.75766"	16	5	13	15	0	0	3	17	0	5	11	10	13	7	4	14	18	23	10	22	15	4	10	12	0	6
"chr18.75767"	16	12	15	21	9	1	2	38	4	14	30	35	22	28	3	35	57	53	9	21	11	9	19	9	7	8
"chr18.75770"	14	4	11	16	0	0	2	14	0	3	13	12	14	7	4	8	14	16	11	24	15	6	11	14	0	8
"chr18.75771"	14	10	17	17	8	4	4	35	4	15	26	38	18	25	4	33	52	53	10	17	6	10	16	14	4	7
"chr18.75775"	15	4	8	13	0	0	0	24	0	5	14	8	9	8	0	7	13	21	10	22	9	7	11	13	0	7
"chr18.75776"	15	10	14	16	10	0	5	27	0	16	30	33	15	24	0	30	52	49	10	21	9	10	16	13	4	8
"chr18.75777"	14	7	8	15	0	0	0	23	0	6	14	13	11	9	0	8	17	17	11	22	13	7	11	13	0	7
"chr18.75778"	14	9	12	19	11	0	3	33	0	16	31	34	17	26	0	31	50	47	9	16	10	12	14	12	7	9
"chr18.75790"	8	10	17	13	7	0	2	33	0	15	23	34	14	24	0	22	40	35	9	14	8	12	14	16	5	13
"chr18.75823"	11	8	8	6	4	0	3	27	0	17	13	13	12	10	0	14	25	30	5	9	5	12	10	8	3	10
"chr18.75826"	3	8	5	2	2	0	1	15	0	14	7	9	5	7	0	10	15	18	3	4	2	4	8	8	0	5
"chr18.75841"	5	6	0	5	5	0	4	17	0	13	12	11	13	7	1	12	13	12	5	6	7	7	10	8	0	17
"chr18.75846"	0	6	0	4	1	0	1	9	0	7	11	8	8	6	1	12	10	8	2	4	5	6	7	3	0	9
"chr18.75865"	0	5	0	2	3	0	0	16	0	6	6	6	5	5	1	11	10	7	3	6	0	4	4	4	0	10
"chr18.76012"	3	0	5	6	0	0	0	7	0	2	6	6	10	2	3	5	10	11	3	1	4	1	0	4	0	3
"chr18.76016"	2	0	5	4	0	0	0	6	0	0	4	6	9	3	1	9	9	11	3	0	0	1	0	4	0	3
"chr18.76017"	1	1	0	1	0	0	0	2	0	1	3	6	0	0	0	4	8	4	1	3	2	2	0	2	3	5
"chr18.76024"	4	0	4	6	0	0	0	5	0	1	7	5	9	3	2	14	9	15	2	2	3	1	0	1	0	4
"chr18.76025"	1	2	0	1	1	0	0	3	2	3	2	6	0	1	0	5	9	6	3	2	2	2	0	5	3	4
"chr18.76026"	4	0	4	5	0	0	0	6	0	1	9	7	9	4	1	12	10	15	1	2	3	1	0	2	0	5
"chr18.76027"	2	5	0	1	1	0	0	3	4	3	3	6	0	1	0	5	9	6	4	2	4	2	0	5	2	6
